Error,ECDF
1.139383854743510477e-01,6.666666666666666574e-02
3.571275618350789882e-01,1.333333333333333315e-01
8.683844369685562725e-01,2.000000000000000111e-01
9.228572093125982923e-01,2.666666666666666630e-01
1.015671915080395227e+00,3.333333333333333148e-01
1.016763200260575761e+00,4.000000000000000222e-01
1.176865846463819976e+00,4.666666666666666741e-01
1.241190817310842576e+00,5.333333333333333259e-01
1.248424752685910244e+00,5.999999999999999778e-01
1.401608961549310806e+00,6.666666666666666297e-01
1.433411991667365326e+00,7.333333333333332815e-01
2.137843032593583992e+00,8.000000000000000444e-01
2.169619942192464013e+00,8.666666666666666963e-01
2.180577195771974175e+00,9.333333333333333481e-01
2.741847570203661100e+00,1.000000000000000000e+00
